load envirionment
Anaconda3 2021.05

m_4506802_ne_19_060_20210816 300
m_4107344_sw_18_060_20211106 320
m_4107416_se_18_060_20211105 320
m_3907538_se_18_060_20190726_20191209 320
m_3009361_sw_15_060_20190706_20191001 360
m_4207161_sw_19_060_20210826 336
m_4606858_sw_19_060_20210817 300
m_3507752_nw_18_060_20200930 340
m_4307007_sw_19_060_20211007 320
m_4207320_sw_18_060_20211107 336
m_3411925_sw_11_060_20200522 340
m_2809618_nw_14_060_20201029 360
m_3108102_sw_17_060_20191110_20200102 340
m_3607644_nw_18_060_20200922 340
m_3008112_se_17_060_20211203 340
m_2608150_nw_17_060_20211223 380
m_3311610_nw_11_060_20200415 340
m_3311714_sw_11_060_20200423 340
m_2908506_ne_16_060_20191118_20200114 360
m_3407703_nw_18_060_20200930 360
m_3009217_nw_15_060_20190904_20191001 360
m_2808215_se_17_060_20211130 360
m_3009119_sw_15_060_20190904_20191001 360
m_4406961_ne_19_060_20210904 300
m_2608003_nw_17_060_20191215_20200113 360
m_4207456_se_18_060_20210920 320
m_4506849_ne_19_060_20210816 300
m_3507727_se_18_060_20200930 357
m_4506844_sw_19_060_20211006 300
m_2809513_nw_15_060_20201117 360
m_4107336_sw_18_060_20211106 320
m_4207432_se_18_060_20210920 320
m_3807662_nw_18_060_20211020 320
m_4506818_se_19_060_20210816 300
m_4107004_se_19_060_20210904 336
m_3108120_ne_17_060_20191110_20200102 340
m_2909202_ne_15_060_20190706_20191001 360
m_2608027_se_17_060_20191203_20200113 360
m_2708133_nw_17_060_20211202 360
m_2608206_nw_17_060_20211204 380
m_2908129_nw_17_060_20211130 360
m_2508026_se_17_060_20211203 360
m_3008125_ne_17_060_20211129 360
m_3008126_sw_17_060_20211129 360
/work/csr33/images_for_predictions/naip_tiles/m_3009046_sw_15_030_20211115.tif

m_2708208_sw_17_060_20211202 360
m_3411858_ne_11_060_20200515 340
m_4107157_nw_19_060_20210926 320
m_3008612_ne_16_060_20191109_20200114 340
m_3507761_se_18_060_20200930 357
m_2709760_sw_14_060_20200430 360
m_3008527_ne_16_060_20191118_20200114 340
m_4207301_se_18_060_20210920 300
m_3707642_ne_18_060_20210827 340
m_2608121_ne_17_060_20211203 360
m_4406717_nw_19_060_20210815 300
m_3108104_nw_17_060_20191110_20200102 340
m_3707557_nw_18_060_20210913 340
/work/csr33/images_for_predictions/naip_tiles/m_3008814_nw_16_030_20211112.tif

m_3507630_se_18_060_20201018 340
m_2809624_nw_14_060_20201029 360
m_2908209_ne_17_060_20211129 360
m_2808050_se_17_060_20191202_20200113 360
m_2608011_sw_17_060_20191203_20200113 360
m_3311721_sw_11_060_20200423 340
m_3009161_ne_15_030_20211114 1326
m_3807603_nw_18_060_20210617 320
m_3008329_ne_17_060_20211130 360
m_3211715_sw_11_060_20200520 340
m_2909039_ne_15_030_20211123 1365
m_3307810_ne_17_060_20210508 340
