                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6491,                  3.142,                 2.2725,                0.65878,                0.20183,                 0.1761,                0.10147,                      0,                    inf,                      0,               0.070012,               0.003332,               0.003332
                      1,                 1.4762,                 1.5834,                 1.2756,                0.78321,                0.32853,                0.35273,                0.23989,                      0,                    inf,                      0,                0.03988,              0.0065333,              0.0065333
                      2,                 1.3154,                 1.3256,                 1.1721,                 0.5294,                0.35289,                0.39884,                0.27488,                      0,                    inf,                      0,              0.0096165,              0.0096027,              0.0096027
                      3,                 1.2268,                 1.1738,                 1.1164,                0.71433,                0.41833,                0.45436,                  0.311,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      4,                 1.1624,                 1.0627,                 1.0844,                0.61824,                0.45077,                  0.477,                0.32455,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      5,                 1.1259,                 1.0097,                 1.0641,                 0.7402,                0.46152,                0.51069,                0.35442,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                      6,                 1.0901,                 0.9574,                 1.0511,                0.59782,                0.49021,                0.49665,                 0.3428,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      7,                 1.0735,                0.92917,                 1.0425,                 0.6677,                0.51344,                0.54085,                0.38106,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      8,                 1.0597,                0.90913,                  1.034,                0.65356,                0.53668,                0.55826,                 0.3873,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                      9,                 1.0419,                0.88453,                 1.0266,                0.70661,                 0.5381,                0.57019,                0.40125,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     10,                 1.0313,                0.86703,                 1.0208,                0.72084,                0.54457,                0.57308,                0.40666,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     11,                 1.0234,                 0.8502,                 1.0158,                0.70559,                0.56504,                0.57982,                0.41252,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     12,                 1.0182,                0.83835,                 1.0137,                0.72465,                0.56192,                0.59385,                0.41873,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     13,                   1.01,                0.82707,                 1.0104,                0.73029,                0.56903,                0.60373,                  0.435,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     14,                 1.0049,                0.81312,                 1.0041,                0.74944,                0.56127,                0.60762,                0.43856,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     15,                 1.0053,                0.80624,                  1.004,                0.75214,                 0.5798,                0.61553,                  0.442,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     16,                0.99894,                0.80182,                 1.0046,                0.76663,                0.57813,                0.62168,                0.44955,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     17,                0.98551,                0.79135,                 1.0015,                0.75804,                0.56996,                0.61833,                  0.445,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     18,                0.98366,                0.79408,                0.99552,                0.76491,                0.57478,                0.62894,                0.45195,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
